name,url,description,duration_minutes,adaptive_support,remote_support,test_type
Core Java Advanced Level (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,SHL Core Java Advanced Level (New) assessment: Measures key skills for core java advanced level (new) roles. hiring also java developers collaborate,35,Yes,Yes,['Knowledge & Skills']
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,SHL Microsoft Excel 365 (New) assessment: Measures key skills for microsoft excel 365 (new) roles. analyst want data senior hire,50,No,Yes,['Knowledge & Skills']
Sql Server Analysis Services (Ssas) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,SHL Sql Server Analysis Services (Ssas) (New) assessment: Measures key skills for sql server analysis services (ssas) (new) roles. analyst want data senior hire,20,Yes,Yes,['Knowledge & Skills']
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,SHL Entry Level Sales Sift Out 7 1 assessment: Measures key skills for entry level sales sift out 7 1 roles. role want graduates sales hire,40,Yes,Yes,['Personality & Behaviour']
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,SHL English Comprehension (New) assessment: Measures key skills for english comprehension (new) roles. role want manage graduates responsibitiles scape sales sound hire station,35,Yes,Yes,['Personality & Behaviour']
Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL Occupational Personality Questionnaire Opq32R assessment: Measures key skills for occupational personality questionnaire opq32r roles. recommend company they assessment below china want consultant based looking,35,Yes,Yes,['Personality & Behaviour']
Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,SHL Professional 7 1 Solution assessment: Measures key skills for professional 7 1 solution roles. recommend analyst assessment below want data senior consultant hire based,30,No,Yes,['Personality & Behaviour']
Occupational Personality Questionnaire Opq32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL Occupational Personality Questionnaire Opq32R assessment: Measures key skills for occupational personality questionnaire opq32r roles. english expert writer content required,50,Yes,Yes,['Personality & Behaviour']
Automata Sql (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,SHL Automata Sql (New) assessment: Measures key skills for automata sql (new) roles. analyst below want data senior long hour find hire assesment,15,No,Yes,['Knowledge & Skills']
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,SHL Technical Sales Associate Solution assessment: Measures key skills for technical sales associate solution roles. role want graduates sales hire,25,No,Yes,['Personality & Behaviour']
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,SHL Interpersonal Communications assessment: Measures key skills for interpersonal communications roles. hiring also role want manage graduates java responsibitiles scape developers sales sound collaborate hire station,25,No,Yes,['Personality & Behaviour']
Css3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,SHL Css3 (New) assessment: Measures key skills for css3 (new) roles. below long hour find assesment,25,No,Yes,['Personality & Behaviour']
Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,SHL Verify Numerical Ability assessment: Measures key skills for verify numerical ability roles. experience icici assistant admin bank,40,Yes,Yes,['Personality & Behaviour']
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,SHL Digital Advertising (New) assessment: Measures key skills for digital advertising (new) roles. manager recro drive marketing looking,25,Yes,Yes,['Personality & Behaviour']
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,SHL Enterprise Leadership Report assessment: Measures key skills for enterprise leadership report roles. they china want company looking,30,Yes,Yes,['Personality & Behaviour']
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,SHL Data Warehousing Concepts assessment: Measures key skills for data warehousing concepts roles. analyst want data senior hire,40,No,Yes,['Personality & Behaviour']
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,SHL Entry Level Sales Solution assessment: Measures key skills for entry level sales solution roles. role want graduates sales hire,35,No,Yes,['Personality & Behaviour']
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,SHL Drupal (New) assessment: Measures key skills for drupal (new) roles. english expert writer content required,20,No,Yes,['Personality & Behaviour']
Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,SHL Enterprise Leadership Report 2 0 assessment: Measures key skills for enterprise leadership report 2 0 roles. they china want company looking,35,No,Yes,['Personality & Behaviour']
Javascript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,SHL Javascript (New) assessment: Measures key skills for javascript (new) roles. below long hour find assesment,65,No,Yes,['Knowledge & Skills']
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,SHL Entry Level Sales 7 1 assessment: Measures key skills for entry level sales 7 1 roles. role want graduates sales hire,25,No,Yes,['Personality & Behaviour']
Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,SHL Opq Leadership Report assessment: Measures key skills for opq leadership report roles. they china want company looking,60,No,Yes,['Personality & Behaviour']
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,SHL Automata Selenium assessment: Measures key skills for automata selenium roles. below long hour find assesment,65,Yes,Yes,['Knowledge & Skills']
General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,SHL General Entry Level Data Entry 7 0 Solution assessment: Measures key skills for general entry level data entry 7 0 solution roles. experience icici assistant admin bank,40,Yes,Yes,['Personality & Behaviour']
Shl Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Shl Verify Interactive Inductive Reasoning assessment: Measures key skills for shl verify interactive inductive reasoning roles. manager manage responsibitiles scape recro drive sound marketing station looking,40,No,Yes,['Personality & Behaviour']
Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,SHL Professional 7 0 Solution 3958 assessment: Measures key skills for professional 7 0 solution 3958 roles. analyst want data senior hire,55,Yes,Yes,['Personality & Behaviour']
Core Java Entry Level (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,SHL Core Java Entry Level (New) assessment: Measures key skills for core java entry level (new) roles. hiring also java developers collaborate,15,No,Yes,['Knowledge & Skills']
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,SHL Sales Representative Solution assessment: Measures key skills for sales representative solution roles. role want graduates sales hire,20,No,Yes,['Personality & Behaviour']
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,SHL Business Communication Adaptive assessment: Measures key skills for business communication adaptive roles. role want graduates sales hire,15,No,Yes,['Personality & Behaviour']
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,SHL Bank Administrative Assistant Short Form assessment: Measures key skills for bank administrative assistant short form roles. experience icici assistant admin bank,35,No,Yes,['Personality & Behaviour']
Sql Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,SHL Sql Server (New) assessment: Measures key skills for sql server (new) roles. analyst below want data senior long hour find hire assesment,55,No,Yes,['Knowledge & Skills']
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,SHL Java 8 (New) assessment: Measures key skills for java 8 (new) roles. hiring also java developers collaborate,50,No,Yes,['Knowledge & Skills']
Automata Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,SHL Automata Fix (New) assessment: Measures key skills for automata fix (new) roles. hiring also java developers collaborate,45,Yes,Yes,['Knowledge & Skills']
Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,SHL Verify Verbal Ability Next Generation assessment: Measures key skills for verify verbal ability next generation roles. recommend assessment below manage responsibitiles scape sound consultant based station,40,Yes,Yes,['Personality & Behaviour']
Microsoft Excel 365 Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,SHL Microsoft Excel 365 Essentials (New) assessment: Measures key skills for microsoft excel 365 essentials (new) roles. manager analyst want data recro drive senior marketing hire looking,50,Yes,Yes,['Knowledge & Skills']
Htmlcss (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,SHL Htmlcss (New) assessment: Measures key skills for htmlcss (new) roles. below long hour find assesment,50,No,Yes,['Personality & Behaviour']
Writex Email Writing Sales (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,SHL Writex Email Writing Sales (New) assessment: Measures key skills for writex email writing sales (new) roles. manager recro drive marketing looking,10,No,Yes,['Personality & Behaviour']
Shl Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL Shl Verify Interactive Numerical Calculation assessment: Measures key skills for shl verify interactive numerical calculation roles. recommend assessment below consultant based,40,Yes,Yes,['Personality & Behaviour']
Basic Computer Literacy Windows 10 (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,SHL Basic Computer Literacy Windows 10 (New) assessment: Measures key skills for basic computer literacy windows 10 (new) roles. experience icici assistant admin bank,45,Yes,Yes,['Personality & Behaviour']
Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,SHL Financial Professional Short Form assessment: Measures key skills for financial professional short form roles. experience icici assistant admin bank,40,Yes,Yes,['Personality & Behaviour']
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,SHL Manual Testing (New) assessment: Measures key skills for manual testing (new) roles. below long hour find assesment,10,Yes,Yes,['Personality & Behaviour']
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,SHL English Comprehension (New) assessment: Measures key skills for english comprehension (new) roles. english expert writer content required,20,No,Yes,['Personality & Behaviour']
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,SHL Tableau (New) assessment: Measures key skills for tableau (new) roles. analyst want data senior hire,65,No,Yes,['Knowledge & Skills']
Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,SHL Written English V1 assessment: Measures key skills for written english v1 roles. english expert writer content required,50,Yes,Yes,['Personality & Behaviour']
